Date,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
26-Jun,,,,,,,,4,1,,,,,,,,,,,,,,,,,,15,5,51,58,,,,0,,0,,,2,2,21,1,
27-Jun,,,,,,5,,6,4,,,,,,,,,,,,,,,,,,143,24,108,36,,1,,0,1,0,,,33,8,54,2,
28-Jun,,,1,,,334,,17,57,,,,,,2,,,,,,,51,,,,,103,40,87,56,,1,,5,2,0,,,43,20,42,24,
29-Jun,0,,112,,,533,,29,87,,0,,,,23,,,,,,,610,,,,,279,50,428,81,6,0,,4,0,13,,0,16,8,25,11,
30-Jun,5,,65,,,562,,79,45,,3,,,,119,,,,,,80,596,,,,,89,74,281,71,25,1,,6,0,10,,0,16,50,5,5,
1-Jul,16,,342,21,,617,,31,315,,25,,,,49,,33,,,,264,507,,,,,187,17,297,379,80,14,,13,0,11,2,1,31,35,3,7,
2-Jul,2,,118,156,87,904,,317,304,,97,,,,463,,255,,423,,998,172,,,1,,310,272,350,543,233,10,,29,1,25,5,1,63,46,5,19,
3-Jul,18,,485,107,,879,,,254,,67,,,,361,,387,606,268,313,831,927,,,42,,129,344,662,851,195,16,0,39,2,7,2,0,134,51,192,38,
4-Jul,15,,804,258,34,740,,,139,,91,,,,179,,163,,458,2024,397,587,,,40,,618,229,578,117,631,117,14,34,8,8,13,6,52,49,42,67,
5-Jul,70,,629,371,69,1001,,,97,,61,,349,,427,,235,,1130,1462,1464,1025,,,95,160,90,410,856,1075,511,28,5,183,24,13,44,15,54,105,23,77,17
6-Jul,43,,345,382,,1080,,75,238,,51,,465,,453,,74,708,1110,1779,1688,790,,17,179,397,1192,454,699,976,640,35,18,95,12,10,53,9,42,164,30,56,31
7-Jul,66,,253,309,,1215,,62,174,60,60,,696,433,255,,145,876,937,1306,1788,1142,145,53,108,386,123,479,1571,1219,655,71,19,134,82,6,59,,98,577,154,61,30
8-Jul,157,,619,390,,773,,47,144,106,130,,583,378,842,204,138,715,692,1133,880,486,,41,46,698,726,592,1324,957,1040,362,27,273,150,18,,,254,150,61,118,38
9-Jul,312,,884,343,,1047,960,241,165,119,77,,571,368,151,622,817,880,1245,679,683,708,,56,189,796,241,858,1062,1218,752,679,21,225,51,50,,,122,115,137,76,113
10-Jul,461,,671,619,414,983,609,87,23,416,482,,684,463,1228,517,325,1004,775,1826,552,219,,148,124,336,450,562,1072,1309,848,464,12,202,72,165,,61,160,217,137,357,
11-Jul,347,,701,462,,749,465,51,104,166,282,,704,887,528,281,431,683,,797,339,224,,199,234,644,804,71,1169,1007,409,,51,434,277,120,,96,355,320,301,456,
12-Jul,274,,632,760,,526,380,,285,245,109,,658,932,1001,441,485,653,,1714,418,532,,258,282,515,547,602,927,674,759,,24,533,262,,,111,208,657,282,355,
13-Jul,716,,597,932,,491,349,,262,305,457,,492,633,111,688,138,688,,764,715,303,,204,149,408,442,357,467,478,517,,710,575,144,,,70,100,180,587,157,105
14-Jul,312,5,613,982,,458,371,,324,269,281,,595,814,387,517,305,426,,375,515,552,,287,152,448,402,761,,834,586,,364,392,314,144,,90,271,421,277,164,202
15-Jul,251,9,673,548,,560,159,,331,146,304,233,450,,1055,320,408,367,,246,282,398,,129,186,221,381,554,550,686,629,,220,308,360,58,,44,127,238,281,450,110
16-Jul,247,46,727,700,,452,424,,276,328,135,347,311,,647,,165,409,,774,181,324,,355,221,444,315,646,342,829,1233,,303,535,272,,,60,132,251,157,153,568
17-Jul,287,82,652,670,,379,334,,225,175,194,,150,,218,515,326,334,,689,237,377,,331,150,230,330,459,671,1136,611,,420,334,216,288,,61,243,,116,50,400
18-Jul,424,64,488,464,,322,231,,105,299,,,103,,408,378,280,411,598,373,227,477,229,126,102,111,,400,516,868,512,725,379,331,133,411,,123,76,,1444,21,383
19-Jul,283,223,561,355,,298,165,,99,259,,,124,,60,328,195,162,,475,260,357,329,395,103,316,289,441,485,517,562,754,427,573,139,391,,131,68,,130,675,335
20-Jul,94,193,475,334,,243,192,,137,177,,,47,,97,291,144,272,,274,88,392,264,221,51,,,376,619,551,1082,,492,382,289,342,,82,123,215,194,769,484
21-Jul,392,135,271,345,,187,102,,124,151,,,107,,197,158,167,200,,266,180,346,225,788,77,,,542,657,893,647,,746,435,296,267,,38,223,171,538,474,293
22-Jul,190,148,302,178,,183,47,,111,72,,,108,,101,169,165,59,,362,98,208,215,265,113,,249,466,474,536,585,,488,292,344,563,,95,60,122,148,589,441
23-Jul,171,117,203,131,,118,81,,89,104,,,84,,128,46,159,101,,151,56,110,98,230,78,,114,223,286,636,883,379,831,283,101,319,,113,95,217,135,456,217
24-Jul,82,151,299,308,,78,54,,69,170,,,56,,57,,103,88,,134,77,53,112,235,93,,176,257,185,456,547,300,534,227,198,285,,40,65,419,178,221,260
25-Jul,87,125,180,,,42,61,,36,116,,,46,,37,45,84,52,,220,99,34,205,429,57,,131,248,221,385,823,341,740,203,73,452,,198,57,195,233,171,288
26-Jul,56,75,114,,,41,39,,44,130,,,38,,55,39,33,76,,159,31,100,127,81,30,,82,116,197,,370,483,604,461,238,413,,70,85,256,206,,185
27-Jul,50,12,92,,,31,52,,30,66,,,27,,35,30,26,77,,135,25,13,184,113,53,,50,153,485,273,350,350,361,416,124,303,,19,74,260,199,,134
28-Jul,20,,72,,,36,34,,37,78,,,16,,44,38,27,121,47,67,27,81,194,68,25,,37,106,295,320,445,250,411,237,120,230,,6,58,238,89,,95
29-Jul,28,,64,,,31,20,,32,55,,,27,,70,34,30,,141,67,52,37,114,93,19,72,32,,150,235,418,357,286,203,263,285,249,1,8,105,139,,154
30-Jul,24,,59,,,24,32,,26,28,,,31,,47,12,20,,108,76,99,47,110,88,14,77,31,,121,167,274,139,180,,,95,179,11,39,195,81,,
31-Jul,,,,,,10,24,,22,33,,,23,,56,18,21,19,86,27,19,36,101,52,41,46,8,43,106,132,249,53,193,,,72,,12,10,213,58,,138
1-Aug,,,,,,8,16,,16,35,,,,,45,11,17,14,58,24,,20,64,54,24,29,23,39,77,81,186,54,122,,,116,,10,26,98,98,,94
2-Aug,,,,,,13,18,,22,35,,,,,42,25,25,7,27,25,,30,58,41,37,53,12,40,68,131,169,96,120,,,110,90,4,12,110,56,,
3-Aug,,,,,,11,27,,18,24,,,4,,29,16,10,16,25,47,9,25,31,24,,24,,,44,104,162,142,105,,,187,87,10,20,65,30,,
4-Aug,,,,,,11,20,,12,7,,,12,,11,8,,25,,21,7,13,25,18,,17,,,60,98,127,,82,53,,,22,,10,103,8,,
5-Aug,,,,,,1,11,,4,14,,,6,,14,3,,23,,11,2,18,30,,,9,,23,70,64,161,,88,67,,,37,2,9,60,36,,
6-Aug,,,,,,3,8,,3,14,,,7,,11,5,,20,,10,6,19,17,,,14,9,20,48,57,63,,,,,,55,,9,49,20,,33
7-Aug,,,,,,4,10,,4,2,,,6,,6,5,,29,16,4,8,13,14,7,,4,6,27,77,45,62,,58,22,,26,,,3,39,17,,28
8-Aug,,,,,,2,5,,8,18,,,10,,9,0,,21,19,15,10,10,20,10,4,12,11,24,48,51,38,54,29,21,,28,19,,3,51,11,,24
9-Aug,,,,,,10,4,,3,8,,1,3,,7,0,,11,2,10,2,23,15,4,7,1,7,15,23,30,17,34,36,23,,45,,,6,40,8,,31
10-Aug,,,,,,4,3,,1,19,,15,1,,2,1,7,15,6,,14,28,5,2,10,6,1,7,37,32,22,29,25,22,,44,12,,5,39,12,,
11-Aug,,,,,,3,5,,3,13,,11,5,,10,3,7,5,,,,33,10,2,3,3,5,3,10,14,39,17,28,11,,48,7,,4,21,2,,
12-Aug,,,,,,6,6,,1,12,,18,10,,4,1,7,11,6,,,,3,8,3,1,5,14,25,26,,28,24,17,,24,,,0,25,11,,
13-Aug,,,,,,1,5,0,5,5,,11,2,,2,2,8,6,5,,,,7,5,9,7,3,5,13,33,,23,15,5,,,10,,0,15,6,,
14-Aug,,,,,,7,1,0,1,6,,15,3,,1,2,1,,9,,,4,5,4,6,4,4,6,5,16,,18,14,8,,,5,,0,20,,,
15-Aug,,,,,,3,0,0,1,1,,9,2,,3,0,5,,7,,5,13,5,1,5,11,2,5,8,13,,5,8,6,,,5,,3,24,,,
16-Aug,,,,,,6,1,0,1,,,14,3,,2,1,9,,4,,1,6,5,2,1,2,1,8,11,7,,7,7,,,13,5,,4,12,,,
17-Aug,,,,,,2,0,0,1,,,17,5,,0,2,2,,3,3,0,5,3,3,0,1,0,7,7,9,,10,3,,,20,4,,,9,,,
18-Aug,,,,,,3,0,0,0,,,11,4,,1,0,4,,0,2,1,1,2,3,0,0,0,3,6,23,,6,4,5,,8,2,,,9,1,,5
19-Aug,,,,,,6,0,0,2,,,6,3,,1,1,2,,5,0,0,5,7,0,1,,0,2,4,16,,4,4,4,,2,4,,,15,3,,8
20-Aug,,,,,,5,0,0,0,,,12,3,,0,1,1,,1,2,3,4,4,1,3,,0,7,3,9,,4,1,7,,,2,,,5,5,,6
21-Aug,,,,,,0,0,0,1,,2,11,3,,1,0,0,,3,3,2,1,4,0,0,,1,7,4,8,,7,4,2,,,1,,,6,,2,1
22-Aug,,,,,,2,0,0,0,,7,5,3,,0,1,,,1,1,3,2,1,2,1,1,2,2,7,3,,5,0,1,,,1,2,,4,,2,2
23-Aug,,,,,,4,0,0,0,0,4,5,2,1,1,0,,,0,1,4,1,0,0,2,1,3,0,3,4,,5,1,7,,0,2,0,,1,,4,3
24-Aug,,,,,,1,0,0,0,0,1,6,0,2,0,0,,,0,0,1,0,1,1,0,1,1,7,4,12,,5,3,0,,0,3,1,,1,,0,3
25-Aug,,,,,,2,0,0,0,0,0,5,1,,0,1,,,0,0,0,2,1,2,1,2,2,2,1,8,,3,2,3,,2,1,1,,4,,,1
26-Aug,,,,,,2,0,0,0,0,0,2,1,,0,1,,,0,0,2,4,3,1,0,2,0,3,2,5,1,4,0,0,,1,1,0,,2,,,1
27-Aug,,,,,,1,0,0,0,0,1,2,1,,0,0,,,0,3,1,4,1,2,2,3,1,,2,4,4,1,2,1,2,0,2,1,1,0,,,
28-Aug,,,,,,2,0,0,0,0,1,2,4,,0,0,,,0,2,1,0,0,0,3,0,3,,0,4,5,1,0,0,1,0,0,0,0,0,,,2
29-Aug,,,,,,2,0,0,0,0,0,0,1,,0,0,,,0,1,2,2,0,0,0,0,1,2,0,3,3,0,0,0,3,0,0,0,0,1,,,0
30-Aug,,,,,,1,0,0,0,0,0,0,1,,0,0,,,2,0,0,1,3,13,4,0,2,2,0,2,1,1,1,1,0,0,1,0,0,0,,,2
31-Aug,,,,,,2,0,0,0,0,0,2,1,,0,0,,0,0,1,0,1,4,0,0,0,1,1,0,2,0,1,0,2,0,0,0,0,0,2,,,0
1-Sep,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,4,0,0,0,0,0,1,0,1,1,0,0,0
2-Sep,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,1,0,0,2,2,1,2,0,1,0,0,3,2,0,1,0,1,1,0,0,0
3-Sep,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,2,0,1,1,0,2,0,0,0,0,0,1,0,0,2
4-Sep,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0
5-Sep,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,1,1,0,0,1
6-Sep,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,1,0,0,0,2
7-Sep,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,1
8-Sep,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
9-Sep,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
11-Sep,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Sep,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1
14-Sep,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-Sep,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
18-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Sep,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
